"district","element","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep"
"ARCH","prcp.dw","1|39","20|22","28|13","18|23","9|32","14|27","6|35","4|36","11|30","7|34","5|37","4|37"
"ISKY","prcp.dw","5|52","25|32","34|21","8|47","6|48","22|34","9|47","5|50","12|44","18|39","9|48","7|50"
"NEED","prcp.dw","2|54","11|46","17|38","22|34","13|42","16|39","7|49","3|51","13|43","9|48","3|54","1|56"
"MAZE","prcp.dw","1|40","16|26","19|22","2|38","3|38","26|14","16|25","9|32","12|29","7|34","4|37","2|38"
"HOVE","prcp.dw","8|57","14|50","36|27","33|30","16|45","28|36","15|50","10|53","15|46","19|46","14|49","14|49"
"NABR","prcp.dw","1|54","19|38","26|30","12|44","10|45","18|38","8|48","5|50","11|46","7|50","4|53","2|55"
"Moab","prcp.dw","1|119","72|53","84|42","59|68","33|92","59|68","26|102","16|112","33|94","28|99","13|114","10|117"
"ARCH","tmax.wc","34|8","16|26","24|17","33|8","27|14","20|21","13|28","1|39","23|18","22|19","1|41","5|36"
"ISKY","tmax.wc","46|11","21|36","32|23","50|5","35|19","25|31","18|38","6|49","31|25","22|34","1|56","23|34"
"NEED","tmax.wc","40|17","20|37","36|20","47|9","29|26","21|34","24|32","5|49","27|29","31|26","1|56","8|49"
"MAZE","tmax.wc","35|7","14|28","30|11","35|6","30|11","20|20","17|24","4|37","21|20","19|22","1|40","14|26"
"HOVE","tmax.wc","48|17","21|43","43|20","24|39","18|43","19|45","18|47","3|60","17|45","15|49","1|62","7|56"
"NABR","tmax.wc","42|15","20|37","40|16","39|17","29|26","29|26","24|32","11|44","35|22","38|19","1|56","12|45"
"Moab","tmax.wc","95|31","49|76","64|62","109|18","63|62","32|95","52|76","9|119","47|80","58|69","1|126","11|116"
"ARCH","tmin.wc","41|1","27|15","8|33","14|27","27|14","2|39","9|32","1|39","10|31","9|32","1|41","21|20"
"ISKY","tmin.wc","56|1","16|41","12|43","30|25","36|18","8|48","14|42","4|51","30|26","11|45","1|56","18|39"
"NEED","tmin.wc","56|1","47|10","23|33","25|31","47|8","16|39","34|22","7|47","32|24","26|31","5|52","38|19"
"MAZE","tmin.wc","41|1","15|27","22|19","29|12","32|9","19|21","22|19","7|34","22|18","17|24","1|40","20|20"
"HOVE","tmin.wc","61|4","47|17","6|57","11|52","35|26","1|63","13|52","2|61","9|53","22|43","4|59","29|34"
"NABR","tmin.wc","56|1","31|26","24|32","35|21","38|17","20|36","46|10","1|54","22|35","36|21","1|56","12|45"
"Moab","tmin.wc","114|12","50|75","18|107","17|110","66|59","1|126","27|101","4|124","8|119","34|93","8|119","37|90"
